date,epu,count
2008-11-25,1.0,103
2008-11-26,0.0,115
2008-11-27,0.0,119
2008-11-28,1.0,128
2008-11-29,0.0,77
2008-11-30,0.0,51
2008-12-01,0.0,92
2008-12-02,1.0,121
2008-12-03,1.0,98
2008-12-04,2.0,108
2008-12-05,1.0,110
2008-12-06,0.0,75
2008-12-07,0.0,75
2008-12-08,0.0,113
2008-12-09,1.0,112
2008-12-10,0.0,100
2008-12-11,5.0,119
2008-12-12,0.0,96
2008-12-13,0.0,76
2008-12-14,0.0,46
2008-12-15,0.0,82
2008-12-16,0.0,87
2008-12-17,1.0,91
2008-12-18,1.0,96
2008-12-19,2.0,85
2008-12-20,1.0,63
2008-12-21,0.0,62
2008-12-22,1.0,98
2008-12-23,0.0,104
2008-12-24,0.0,105
2008-12-25,0.0,114
2008-12-26,1.0,112
2008-12-27,2.0,67
2008-12-28,0.0,66
2008-12-29,2.0,111
2008-12-30,1.0,108
2008-12-31,0.0,97
2009-01-01,0.0,30
2009-01-02,1.0,27
2009-01-03,0.0,47
2009-01-04,1.0,62
2009-01-05,0.0,103
2009-01-06,2.0,105
2009-01-07,3.0,121
2009-01-08,1.0,121
2009-01-09,1.0,111
2009-01-10,0.0,81
2009-01-11,0.0,73
2009-01-12,2.0,122
2009-01-13,0.0,118
2009-01-14,5.0,112
2009-01-15,0.0,119
2009-01-16,1.0,108
2009-01-17,0.0,75
2009-01-18,0.0,70
2009-01-19,4.0,115
2009-01-20,0.0,97
2009-01-21,1.0,84
2009-01-22,1.0,78
2009-01-23,0.0,109
2009-01-24,0.0,62
2009-01-25,0.0,27
2009-01-26,0.0,30
2009-01-27,1.0,24
2009-01-28,0.0,30
2009-01-29,0.0,31
2009-01-30,0.0,26
2009-01-31,0.0,35
2009-02-01,0.0,58
2009-02-02,1.0,117
2009-02-03,1.0,119
2009-02-04,2.0,103
2009-02-05,0.0,101
2009-02-06,1.0,106
2009-02-07,0.0,55
2009-02-08,0.0,62
2009-02-09,0.0,96
2009-02-10,1.0,94
2009-02-11,0.0,118
2009-02-12,0.0,112
2009-02-13,1.0,114
2009-02-14,0.0,59
2009-02-15,0.0,60
2009-02-16,0.0,77
2009-02-17,3.0,99
2009-02-18,1.0,114
2009-02-19,1.0,104
2009-02-20,2.0,109
2009-02-21,0.0,65
2009-02-22,0.0,70
2009-02-23,2.0,108
2009-02-24,0.0,100
2009-02-25,0.0,105
2009-02-26,0.0,102
